rsd,y_pred,y_conf,y_true,provider_count,unique_beneficiary_provider
"Balloon dilation of artery, accessed through the skin or by open procedure, with imaging including radiological supervision and interpretation",6,0.65456545,6,693,3334
Reconstruction of lower jaw or cheek bone with insertion of implant,6,0.9867519,6,18,29
Removal or destruction of growth in nose ,5,0.59491956,6,1117,1432
Removal of lower spine bone with release of frayed spinal cord,6,0.92236245,6,118,151
Removal of excessive skin and tissue beneath the skin of buttock,6,0.8749149,6,12,17
Removal of brain tumor,6,0.9929229,6,2011,3507
Revision of total elbow repair,6,0.93596625,6,117,144
Repair of torn collateral and cruciate ligaments or knee joint capsule,6,0.91955787,6,26,27
Removal or scraping of bone cyst or growth of foot bone with donor bone graft,6,0.71044743,6,65,72
Removal of upper spine bone and growth,6,0.9888881,6,69,71
Partial removal of chest cavity lining and lung using an endoscope,6,0.96179104,6,1318,2360
Repair of congenital bowel defect,6,0.9824814,6,414,427
"Fusion of lower spine bones with removal of disc, posterior approach",6,0.64811736,6,23,24
Removal of lung and portion of windpipe cartilage,6,0.759634,6,11,11
Insertion of aqueous fluid drainage device into eye,6,0.808103,6,295,2167
"Removal of plaque in artery in one leg, endovascular, accessed through the skin or open procedure ",6,0.94820035,6,2495,10229
Repair of eardrum and ear canal with removal of mastoid bone,6,0.9913087,6,12,14
Anesthesia for procedure on brain,6,0.8684269,6,13,13
Bypass of diseased or blocked artery (aorta to kidney artery),6,0.9719151,6,26,26
Repair to increase depth on one side of the mouth,4,0.6607311,6,24,46
Removal (less than 5 centimeters) tissue growth of leg or ankle,6,0.904924,6,201,302
Removal of extra breast tissue,6,0.92046803,6,464,503
Closed treatment of hip socket fractures with manipulation ,6,0.7768739,6,162,179
"Drainage of abscess of lower spine or sacrum, open procedure",6,0.8960591,6,17,20
Realignment of the eye with repair of muscle,6,0.97002023,6,135,220
"Fusion of spine bones with removal of disc at upper spinal column, anterior approach",6,0.7593105,6,17,17
"Removal of tongue, floor of mouth, and jaw bone",6,0.91151404,6,268,484
"Partial removal of pancreas, bile duct, and small bowel",6,0.97995365,6,23,28
Severing of muscle at upper esophagus,6,0.89509124,6,489,785
Diagnostic examination of hip using an endoscope ,4,0.3590991,6,58,70
Removal of foot bone spur ,4,0.6649977,6,2005,3447
Removal of fluid accumulation in both testicles and sperm reservoirs,6,0.5488029,6,729,837
Repositioning of trapped groin hernia,6,0.9006066,6,2279,2642
Release of lining covering lung from chest wall ,6,0.96087885,6,26,39
Removal and replacement of all components of a multi-component inflatable penile prosthesis at same surgery,6,0.9500222,6,883,1535
Connection to bladder of lower portion of urinary duct (ureter),6,0.9383049,6,580,792
Tying off congenital blood flow tract defect ,6,0.716444,6,31,37
Elevation of depressed skull fractures ,6,0.71179277,6,43,43
Removal of scar tissue to release tendon of palm or finger,6,0.89572245,6,50,84
Removal of lesion at skull base,6,0.98891795,6,98,145
"Exploration, biopsy, or removal of loose or foreign body of knee",6,0.8976411,6,684,873
Removal of kidney stone,6,0.99162465,6,55,59
Opening in chest with partial removal of lung tissue,6,0.50188327,6,1550,3043
Open treatment of broken thumb at wrist,6,0.96321756,6,121,150
Removal of urinary duct (ureter) and partial removal of bladder,6,0.9621669,6,274,331
Destruction of trigeminal (facial) nerve branch under X-ray monitoring,6,0.7725072,6,137,364
Suture of liver wound to control bleeding ,6,0.8718742,6,261,296
Creation of brain fluid drainage shunt,6,0.99513054,6,54,68
Anesthesia for removal of penis and lymph nodes on both sides of groin,6,0.8434703,6,12,12
Repair of hernia using an endoscope,5,0.848697,6,5152,10276
"Removal of plaque in arteries in one leg, endovascular, accessed through the skin or open procedure",6,0.9646359,6,1324,16009
Tying or stapling of perforation at junction of esophagus and stomach,6,0.33951962,6,30,31
Destruction of (less than 0.5 centimeters) growths of the bladder and bladder canal (urethra) using an endoscope,6,0.7890435,6,5216,23492
Removal of scar tissue to release tendon of palm and finger,6,0.9182608,6,11,11
Partial removal of salivary gland growth with release of facial nerve ,6,0.9414457,6,3108,6376
Incision and drainage of abscess or blood accumulation in soft tissues of neck or chest with removal of rib,4,0.5372287,6,38,39
"Balloon dilation of artery of one leg, endovascular, accessed through the skin or open procedure",6,0.9134355,6,843,3855
Partial removal of esophagus ,6,0.9162925,6,18,18
"Removal of tubes, ovaries, uterus, and lymph nodes for uterine malignancy",6,0.8668059,6,83,104
Prosthetic repair of elbow joint ,6,0.8485769,6,753,1017
Removal of bone and growth in cavity behind eye,6,0.9547041,6,114,163
Removal and reconnection of diseased or injured portion of urinary duct (ureter),6,0.96800315,6,305,386
Repair of upper eyelid muscle to correct drooping or paralysis,6,0.9815755,6,356,554
Open treatment of knee cap dislocation,6,0.8451201,6,77,85
Anesthesia for procedure on middle spine and spinal cord ,6,0.35284936,6,532,582
Removal of wrist joint lining using an endoscope ,6,0.8450248,6,157,286
Repositioning of remnant stomach to esophagus,6,0.9720095,6,31,37
Repair of artificial heart valve on heart-lung machine,6,0.9837339,6,49,58
Anterior (front) eye procedure,3,0.5101715,6,210,376
Heart surgery procedure,6,0.9009489,6,984,2490
Repair of knee joint using an endoscope ,6,0.9386131,6,154,230
"Revision of arterial bypass of leg with placement of vein patch, open procedure ",6,0.9369243,6,382,459
Vaginal delivery after prior cesarean delivery ,6,0.9502798,6,118,119
Anesthesia for procedure on spine and spinal cord,4,0.35233563,6,195,377
Suture of liver wound to control bleeding,6,0.89642537,6,158,179
Vaginal removal of uterus (250 grams or less) with repair of herniated bowel,6,0.9917278,6,12,15
Revision of previous mastoid surgery,6,0.98006195,6,60,69
"Repair of multiple hamstring tendons, open procedure",6,0.69453555,6,58,171
Removal or scraping of cyst or growth of either bone of lower leg,6,0.94042647,6,24,28
Incision of forehead bone for excision of pituitary gland tumor,6,0.9201044,6,59,61
"Blinded procedure for lumbar stenosis,  percutaneous image-guided lumbar decompression (pild) or placebo-control, performed in an  approved coverage with evidence development (ced) clinical trial ",6,0.34789377,6,25,84
Revision of previous mastoid surgery with removal of remaining mastoid bone,6,0.97288436,6,47,53
Removal of brain tissue to relieve seizure activity,6,0.97208136,6,20,23
Closed treatment of broken thigh bone with manipulation,6,0.91716653,6,44,49
Removal of nasal air passage,5,0.70590353,6,4636,22107
Removal (1.5 centimeters or greater) muscle growth of hand or finger,6,0.4107517,6,1394,2129
Heart artery bypass to repair multiple arteries,6,0.9892476,6,2152,7289
Shock wave crushing of kidney stones,6,0.97805697,6,380,1136
Plastic reconstruction of eye socket bone,6,0.98422295,6,13,23
Relocation of tendon of forearm and/or wrist with grafts,6,0.94621235,6,244,461
"Removal of voice box, muscle, lymph nodes, and glands",6,0.9598692,6,157,210
"Insertion of stent, removal of plaque and/or balloon dilation of coronary vessel during heart attack, accessed through the skin",6,0.6778972,6,6621,45548
Removal of brain tumor or other skull bone lesion,6,0.9974099,6,600,748
"Repair of multiple hamstring tendons of both legs, open procedure",6,0.5565151,6,11,13
Removal of foreign body from lining of chest cavity using an endoscope,6,0.7137553,6,652,1379
Removal of heel bone spur,4,0.7129794,6,1354,2007
Removal of ovarian or tubal pregnancy including removal of the ovary and/or tube using an endoscope ,6,0.7078074,6,174,175
Anesthesia for open removal of muscle or tissue at upper two-thirds of thigh bone,4,0.49073657,6,164,171
Repair of abnormal artery-vein connection in brain ,6,0.9953294,6,36,37
Blocking of uterine tubes by device using an endoscope,5,0.41672987,6,92,103
"Fusion of spine bones for correction of deformity, posterior approach, 7 to 12 vertebral segments",6,0.9733907,6,589,1267
Examination of lung airways using an endoscope with imaging guidance and ultrasound,4,0.65969646,6,31,94
Removal of pressure sore and lower pelvic bone,6,0.73599285,6,134,168
Cesarean delivery,6,0.7237383,6,2373,2760
Open treatment of shoulder dislocation,6,0.9567636,6,318,343
Incision to repair forearm bone,6,0.96722466,6,276,310
Open treatment of broken wrist bone,6,0.8616392,6,77,77
Removal of blood clot in vena cava,6,0.67673326,6,94,105
Repair of ligament at elbow,6,0.9679586,6,11,11
Repair of hip socket with removal of head of thigh bone ,6,0.9768984,6,928,1062
Stereotactic treatment of brain growth,6,0.64758277,6,86,227
Removal of bone defect of shin and/or ankle using an endoscope ,6,0.7965647,6,833,1153
Repair of elbow joint ,6,0.9714527,6,43,43
Removal of kidney and lymph nodes using an endoscope,6,0.97572416,6,17,24
Reshaping of bony cartilage dividing nasal passages,6,0.93660873,6,349,484
Lengthening or shortening of multiple tendons of leg or ankle,6,0.6860634,6,214,319
Repair of diseased or ruptured bulging (aneurysm) artery of groin ,6,0.99663806,6,64,67
Reconstruction of vena cava,6,0.99472,6,227,242
Incision of spine to correct deformity at lower spinal column,6,0.9680118,6,605,1194
Removal of malignant growth of stomach,6,0.9587338,6,663,813
Mechanical separation of plasma and abnormal antibodies from blood,6,0.52907085,6,32,127
"Replacement of aortic valve with prosthetic valve, accessed through the skin ",6,0.7606694,6,1476,25724
Repair of anal muscle and abnormal anal drainage tract ,5,0.8738653,6,831,1095
Removal of scar tissue of ovaries or uterine tubes,6,0.84615433,6,263,373
Partial removal of large bowel with creation of small or large bowel opening,6,0.9986559,6,1938,2355
Transfer of tendon or muscle in hamstring,6,0.83904314,6,17,27
"Insertion of needle and/or catheter into dialysis circuit and insertion of stent in dialysis segment, with imaging including radiological supervision and interpretation",6,0.8623907,6,1004,10849
Replacement of central venous catheter,6,0.2682577,6,73,124
"Repositioning of vena cava filter by endovascular approach, including radiological supervision and interpretation",6,0.9702516,6,40,42
Removal of bladder,5,0.46280524,6,151,185
Release of middle spinal cord and/or nerves,6,0.7436076,6,802,1107
Excision of skull base for exploration or release of cranial nerves,6,0.9637544,6,510,1124
Incision of small bowel for insertion of tube ,6,0.9083881,6,385,474
Reconstruction of upper heart chamber tissue and alteration of electrical pathway using an endoscope ,6,0.8855787,6,88,238
Removal of right liver lobe with partial removal of left liver lobe ,6,0.96453154,6,206,299
Removal of sacral spine bone and growth ,6,0.96908736,6,23,32
Reconstruction of ear canal ,6,0.9747533,6,27,40
Repair of bladder and/or bladder canal (urethra),6,0.8188507,6,96,115
Removal of fluid-filled sac of elbow,4,0.6170308,6,3801,5421
Correction of foot deformity with incision of ankle joint capsule and tendon lengthening,6,0.8884816,6,88,120
Electro-removal of prostate through bladder canal (urethra) with control of bleeding using an endoscope,6,0.801128,6,6877,49604
Treatment of broken leg bone with assistance of an endoscope,6,0.93785024,6,987,1822
Removal of lower spine bone and growth,6,0.9731407,6,259,297
Transplant of lung,6,0.9831777,6,149,333
Bypass of diseased or blocked artery (lower leg to lower leg artery) ,6,0.94293785,6,1088,1700
Removal (less than 5 centimeters) tissue growth in abdominal wall,6,0.8594798,6,115,134
Suture of hand or foot common sensory nerve ,6,0.60522276,6,169,174
Incision of tear duct using an endoscope ,6,0.53533024,6,543,1536
Removal or biopsy of middle spine bone growth,6,0.9894462,6,649,745
Removal of nasal sinus and eye bone,6,0.93977857,6,56,61
Removal of stomach ulcer or growth,6,0.9390126,6,845,962
"Insertion of electrodes to outer layer of heart, open procedure",6,0.88117397,6,810,1576
Creation of skin and tissue graft,6,0.81723654,6,188,626
Removal of small bowel pouch with creation of small bowel opening,6,0.9976768,6,92,102
Reconstruction of bone around spinal canal with release of spinal cord,6,0.91333675,6,101,130
Removal of entire external female genitals and surrounding lymph nodes on one of the groin,6,0.9471325,6,41,45
"Insertion of posterior spinal instrumentation at base of neck for stabilization, 1 interspace",6,0.9574327,6,8403,64087
Removal of middle spine bone and growth,6,0.98130244,6,319,346
Removal of growth of peripheral nerve or nerve lining ,6,0.91010636,6,192,221
Creation of a tear drainage tract to the nasal cavity with insertion of tube or stent,5,0.43119863,6,370,746
Severing of muscle at upper esophagus,6,0.89509124,6,488,843
Reconstruction of conjunctiva,6,0.93914056,6,67,336
Insertion of tube accessed through the chest for external blood circulation in heart and lungs using a pump patient 6 years and older ,5,0.4593094,6,199,269
"Removal of salivary gland growth or salivary gland, lateral lobe ",5,0.6496529,6,787,1014
"Gene analysis (neuroendocrine tumors), genomic sequence",4,0.53585905,6,2,943
Removal of ocular implant,6,0.3922146,6,8,42
Removal of shoulder joint lining,6,0.5476648,6,133,157
Donor cartilage graft at knee joint using an endoscope,6,0.7616852,6,23,30
Creation of connection between two segments of small bowel,6,0.952154,6,1706,2079
Destruction of tissue and reconstruction of right lower heart on heart-lung machine ,6,0.97922117,6,27,33
Relocation of tendon of forearm and/or wrist,6,0.9290883,6,120,316
"Removal of upper spine bone with release of spinal cord and/or nerves, anterior approach",6,0.47241786,6,3358,9431
Correction of bunion,6,0.4856696,6,1529,2382
Partial removal of small bowel,6,0.98426104,6,13176,29461
"Fluid collection drainage by catheter using imaging guidance, accessed through the skin",4,0.7693014,6,75,119
"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",5,0.46390918,6,5748,40440
"Iodine i-123 iobenguane, diagnostic, per study dose, up to 15 millicuries",6,0.8920207,6,21,26
"Repair of anal muscle to correct incontinence, adult ",6,0.78484434,6,158,319
Removal of growth of chest wall and ribs,6,0.92604315,6,212,240
Removal or re-exploration of parathyroid glands,6,0.9366223,6,499,1107
Removal of nasal sinus and eye bone ,6,0.9380129,6,52,58
Creation of multiple tissue skin graft,6,0.6836985,6,429,658
Partial removal of small bowel with creation of drainage tract to skin surface,6,0.99181414,6,1101,1226
Insertion of tissue expander in breast,6,0.91678554,6,71,140
Re-amputation of leg ,6,0.37993103,6,1632,2084
Reconstruction of lower eyelid by transfer of eyelid tissue from opposite eyelid,6,0.9820312,6,42,59
Partial removal of external female genitals and surrounding lymph nodes on both sides of groin ,6,0.9654785,6,227,282
Biopsy of brain stem or upper spinal cord,6,0.68717307,6,40,43
Repair of perforating laceration of cornea and/or sclera,6,0.8938281,6,37,40
Removal of eye contents ,6,0.861365,6,78,93
Abdominal removal of uterus and cervix ,6,0.9915029,6,5956,10571
"Incision, removal, or repair of abnormal drainage tract from bladder into bowel",6,0.9333364,6,46,46
"Temporal bone implantation of cochlear stimulating system, accessed through the skin",6,0.9672477,6,63,73
Insertion of stent into bile duct,6,0.8706413,6,61,71
Partial removal of small bowel with creation of drainage tract to skin surface ,6,0.9920439,6,1025,1136
Repair of bulging vessel (aneurysm) above heart valve to lung on heart-lung machine,6,0.9946451,6,57,75
Removal of blood clot and portion of artery of abdominal aorta,6,0.9225476,6,186,213
Repair of dialysis access in arm ,6,0.9332355,6,730,1148
Removal of cartilage attaching the tongue,6,0.81485146,6,40,63
Fusion of knee ,6,0.7630651,6,362,469
Decompression of eye bone and release of optic nerve using an endoscope,6,0.89456433,6,20,26
"Insertion of needle and/or catheter into dialysis circuit and insertion of stent in dialysis segment, with imaging including radiological supervision and interpretation",6,0.86235046,6,2328,8078
Placement of graft to first portion of aorta,6,0.7991302,6,147,198
Release of capsule of ankle joint,6,0.8499192,6,53,77
"Image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fractionated treatment ",5,0.5230623,6,139,1724
Removal of blood clot in artery,5,0.6124329,6,407,437
Removal of scar tissue from tendon of finger and forearm,6,0.8460036,6,115,141
Fusion of great toe,6,0.76336855,6,4332,12626
Open treatment of knee dislocation,6,0.9598159,6,18,18
Nuclear medicine study brain with metabolic evaluation,2,0.4897901,6,747,5239
"Occlusion of venous malformations (other than hemorrhage) with radiological supervision and interpretation, roadmapping, and imaging guidance",6,0.9851265,6,874,1301
Removal of lip with skin flap repair ,6,0.71745205,6,220,293
Insertion of catheter into vein,4,0.8311332,6,370,2494
Removal of forearm bone at wrist,6,0.9198739,6,121,171
Complete removal of inside lining of chest cavity and lung using an endoscope ,6,0.81703764,6,1334,3520
Repair of wound to heart,6,0.9144952,6,279,307
Obtaining ear cartilage for grafting,6,0.4793062,6,1782,5061
"Creation of flap graft to nose, forehead, temple, or scalp",6,0.9855651,6,204,442
Incision or removal of ear bone with insertion of prosthesis,6,0.94724053,6,383,716
Removal of lower spine bone and growth,6,0.9731425,6,16,16
"Removal or crushing kidney stone (over 2 centimeters) or insert kidney stent using an endoscope, accessed through the skin",6,0.8309285,6,19,28
Open treatment of broken ankle,6,0.70428556,6,385,436
"Insertion of electrodes to outer layer of heart, open procedure",6,0.88117594,6,739,1306
Surgical removal of prostate and surrounding lymph nodes using an endoscope,6,0.9612662,6,2996,22144
Anesthesia for removal of pelvic bone tumor ,6,0.83301175,6,345,367
Repair of blood vessel of chest on heart-lung machine,6,0.99932015,6,260,353
Bypass of diseased or blocked artery (neck to opposite neck artery),6,0.97326285,6,23,24
Incision to repair forearm bone,6,0.9672269,6,11,12
Irrigation and drainage of knee joint for infection using an endoscope,6,0.28888404,6,1551,1831
"Suture of wound, injury, or rupture of the bladder",6,0.9686321,6,1172,1317
Suture or patch of valve between right heart chambers ,6,0.9336162,6,21,25
Removal of growth plate of both leg bones ,6,0.84104526,6,27,29
Bypass of diseased or blocked artery (upper leg to lower leg artery),6,0.9721656,6,1968,3711
Removal of leg bone growth,6,0.7233794,6,24,25
Insertion of non-inflatable penile prosthesis ,6,0.6964482,6,202,255
Open treatment of hip socket fractures with insertion of hardware,6,0.9829571,6,431,559
Partial removal of collar bone,6,0.47868827,6,4167,13293
Removal of iris and eyelid border to improve eye fluid flow,5,0.71193016,6,9,13
Skull and face bone procedure,6,0.7805772,6,55,68
Re-exploration of liver wound with removal of packing ,6,0.88992536,6,100,108
Graft to relieve or reactivate facial paralysis,6,0.9819401,6,162,273
Insertion of implant material in bladder using an endoscope,6,0.37557703,6,600,5140
Creation of brain fluid drainage shunt,6,0.99513054,6,11,11
Removal of prosthesis of shoulder,6,0.97834945,6,371,505
Repair of finger tendon ,6,0.9666708,6,370,432
Exploration of the brain ,6,0.98282075,6,44,45
Replacement of valve between left upper and lower chambers on heart-lung machine ,6,0.9884735,6,14,14
"Drainage of abscess of muscle separating chest and abdomen (diaphragm), open procedure",6,0.8683832,6,286,341
Incision of tendon covering,5,0.52273446,6,10464,90302
Partial removal of small bowel to correct congenital defect ,6,0.9662171,6,45,47
"Removal of upper spine bone with release of spinal cord and/or nerves, anterior approach ",6,0.45930862,6,3480,9731
"Tying of varicosed veins in one leg, open procedure",5,0.3540317,6,38,56
Diagnostic examination of jaw joint using an endoscope ,6,0.7913575,6,20,27
Bypass of diseased or blocked artery (arm to upper leg artery),6,0.97237664,6,38,39
Incision and drainage of cavity behind eye,6,0.6069035,6,96,116
Open treatment of collar bone and shoulder joint dislocation with tissue graft ,6,0.85915524,6,247,259
Destruction of prostate tissue through bladder canal (urethra),6,0.9552729,6,29,122
Incision to repair tendon covering at wrist,5,0.47417697,6,156,252
Middle ear exploration ,5,0.4273519,6,242,445
Removal of remaining lung after prior lung surgery,6,0.8912159,6,79,89
Oral removal of lower jaw bone growth or cyst,6,0.8353805,6,102,262
Reconstruction of knee joint ligaments,6,0.9809991,6,349,422
Removal of abnormally thickened tissue in penis,6,0.8617229,6,30,133
Insertion of stents in blood vessel of head ,6,0.65680313,6,217,379
Removal (5 centimeters or greater) tissue growth of leg or ankle ,6,0.97749764,6,19,20
Removal of nasal sinus ,6,0.9210061,6,172,585
Repair of herniated rectum ,5,0.7196689,6,91,99
Incision of pelvic and thigh bone,6,0.9159507,6,15,19
Tying of major artery of the abdomen,6,0.7441723,6,428,560
Revision of opening from urinary tract to skin with repair of hernia,6,0.6130035,6,55,67
"Injection, alemtuzumab, 1 mg ",0,0.6976118,6,42,125
Creation of muscle and blood vessel skin graft,6,0.93420774,6,530,1787
Repair of knee joint with bone graft and hardware using an endoscope,6,0.9825781,6,77,82
Removal of nasal sinus ,6,0.921008,6,79,164
Repair of tendons of outer forearm at wrist joint,6,0.9570561,6,12,17
Suture of wound or injury of kidney,6,0.8590854,6,54,96
Repair of dislocating knee cap ,6,0.81077564,6,164,179
"Drainage of abdominal abscess or infection, open procedure",6,0.90907,6,3012,5036
Shortening of bone of wrist ,6,0.63264674,6,24,45
Removal or biopsy of upper spine bone growth ,6,0.9893328,6,228,242
Open treatment of broken and dislocated wrist bone,6,0.83986896,6,33,33
Removal of large bowel with attachment of small bowel to rectum or creation of small bowel opening,6,0.9977629,6,2712,3490
Open treatment of fracture of lower weight bearing joint of both lower leg bones,6,0.9428414,6,1189,1469
Crushing of stone in urinary duct (ureter) with stent using an endoscope ,5,0.5488273,6,6678,50265
Nuclear medicine study heart muscle at rest or stress single study,3,0.23818211,6,125,399
Incision of spine to correct deformity at lower spinal column,6,0.9680011,6,1779,7911
Removal of eyeball with implant attached to muscles,6,0.96421134,6,499,1013
"Insertion of intravascular stents in vein, open or accessed through the skin, with radiological supervision and interpretation",6,0.9701799,6,2242,5488
Aspiration of blood accumulation or cyst in brain,6,0.900308,6,86,164
Repair of ankle joint with prosthesis ,6,0.9845094,6,987,2819
Connection of the bladder to pouch at junction of small and large bowel ,6,0.96255964,6,58,71
Excision of lobe of brain,6,0.97779274,6,86,116
Removal of prostate gland and surrounding lymph nodes on both sides of the pelvis through abdominal incision ,6,0.98817855,6,13,19
Removal of fluid-filled sac (bursa) of wrist joint lining or forearm tendon,6,0.9434035,6,1370,4422
External ear procedure,2,0.8783397,6,29,35
"Insertion of sacral nerve neurostimulator electrodes, accessed through the skin ",6,0.9505433,6,1337,6156
Release of facial nerve,6,0.98038816,6,78,116
Impression and custom preparation of nasal prosthesis,6,0.9644867,6,28,61
Insertion of shunts to bypass blood flow to liver using imaging guidance,6,0.9260879,6,975,1756
Incisional repair of twisted or herniated small bowel ,6,0.79370826,6,2619,3736
Open treatment of broken of lower forearm or growth plate separation with insertion of hardware 3 or more fragments ,6,0.7434143,6,7778,21741
Release of small bowel obstruction ,6,0.97371477,6,281,306
Removal of blood clot and portion of artery of upper thigh artery,6,0.95543766,6,2039,4232
Insertion of prosthetic material to enlarge lower jaw bone,6,0.9324819,6,13,15
Open treatment of broken wrist bone,6,0.86163855,6,93,95
Exploration of the brain ,6,0.9828188,6,425,543
"Vaginal removal of uterus (250 grams or less), tubes, and/or ovaries with repair of herniated bowel ",6,0.99127066,6,421,679
Removal or shaving of knee joint cartilage using an endoscope,6,0.9780828,6,2875,4989
Partial removal of large bowel and reattachment to rectum,6,0.9932116,6,4615,8069
Incision of tissue of forearm and/or wrist muscle compartment ,6,0.9466523,6,398,1264
Bypass of diseased or blocked artery (upper leg to lower thigh artery) ,6,0.9836406,6,11,12
Placement of (up to 4 centimeter length) head or neck nerve graft ,6,0.9786396,6,78,114
Suture of median motor thenar nerve (hand),6,0.8437741,6,45,47
Removal of cyst of membrane covering behind knee joint,4,0.6733793,6,488,846
"Removal or destruction of (greater than 10.0 centimeters) abdominal cavity growths, cysts, or abnormal tissue, open procedure",6,0.9157365,6,1189,1910
"Replacement of aortic valve using human donor valve on heart-lung machine, open procedure",6,0.97192097,6,108,307
Removal of gallbladder cyst,6,0.9138782,6,31,38
"Removal of breast, lymph nodes, and muscle",6,0.94342405,6,338,377
Anesthesia for removal of lung lining,6,0.77457744,6,4982,6329
Removal of upper and middle spine sympathetic nerves,6,0.55485386,6,7,11
Fusion of thumb at wrist,6,0.983423,6,160,215
Removal of infected area in chest cavity and closure of abnormal drainage tract,6,0.8500267,6,43,51
Stereotactic treatment of brain growth,6,0.64757776,6,167,392
Laser destruction of eye fluid (vitreous) between the lens and retina ,6,0.9518886,6,2350,14115
Removal of posterior spinal instrumentation,6,0.9551079,6,2123,4017
Repair of one side of voice box by moving vocal cord to middle,6,0.873367,6,381,1134
Repair of bladder canal (urethra) and/or lower bladder for incontinence,6,0.73248965,6,22,54
Repair of hernia of muscle at esophagus and stomach with implantation of mesh using an endoscope,6,0.96517843,6,2611,8595
Open treatment of broken bones of face and head and/or insertion of hardware,6,0.9226941,6,14,14
"Removal of blood clot and injections to dissolve blood clot from artery or arterial graft using fluoroscopic guidance, accessed through the skin ",6,0.793816,6,182,695
Application of multiplane external bone fixation system on one arm or leg,6,0.92314494,6,2094,3479
"Placement of catheter of kidney and urinary tube (ureter), accessed through the skin using imaging guidance with radiological supervision and interpretation",4,0.46157002,6,26,38
Insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,6,0.90796185,6,2951,17942
"Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography ",6,0.64687425,6,1601,42696
Closed treatment of hip socket fractures with manipulation ,6,0.7768815,6,12,13
Middle ear procedure,2,0.43973675,6,324,544
Incision or removal of tissue below left lower heart valve,6,0.83798856,6,150,212
Removal or scraping of hand bone cyst or growth,6,0.60484076,6,285,304
Repair of disrupted collateral ligament of ankle,5,0.5154089,6,21,25
Revision of reconstructed breast,6,0.9506441,6,1978,5277
Removal of foreign body in lung,3,0.29696807,6,25,28
Repair of muscle at lower esophagus and stomach ,6,0.98437285,6,62,86
Partial removal of bone and/or release of middle spinal cord or spinal nerves,6,0.9425532,6,443,515
Repair of valve between left heart chambers on heart-lung machine,6,0.99583036,6,482,817
Joint procedure using an endoscope,6,0.8450091,6,1429,3252
"Closure of abnormal drainage tract from chest cavity to lung airway, open procedure ",6,0.86910367,6,107,146
"Injections of one side of sacrum for enlargement, 1 or more needles, accessed through the skin ",6,0.93835527,6,5,14
Laser fragmentation of prostate tissue with control of bleeding using an endoscope,6,0.74312645,6,398,3760
Removal of hardware of forearm bone at elbow joint,6,0.8939466,6,132,136
Removal (less than 5 centimeters) tissue growth of back or flank,6,0.90629375,6,161,275
"Insertion of stent, removal of plaque and/or balloon dilation of coronary vessel, accessed through the skin",6,0.6454299,6,24,28
Partial removal of thyroid lobe on one side of the neck,6,0.79664296,6,823,1253
"Injections of one side of sacrum for enlargement, 1 or more needles, accessed through the skin ",6,0.938355,6,15,17
"Replacement of stimulator electrodes in upper stomach, open procedure",6,0.8967068,6,36,103
Removal of prostate gland and surrounding lymph nodes on both sides of the pelvis through abdominal incision,6,0.9889914,6,914,2235
Incision to release foot muscle tendon ,3,0.7854088,6,300,495
"Catheter based closure of congenital heart defect with implant, accessed through the skin",6,0.9424899,6,633,1457
Creation of large bowel opening using an endoscope ,6,0.66854453,6,2392,3388
Closure of large or small bowel opening with bowel removal and reattachment of large bowel and rectum,6,0.9932399,6,3768,5258
Insertion of testicular prosthesis,6,0.7580564,6,22,23
Exploration of spinal fusion,6,0.8912982,6,3530,13311
Anesthesia for procedure to repair skull or skull fracture ,6,0.69824237,6,1810,1985
Open treatment of broken ankle,6,0.70401126,6,5049,7453
Anchoring of tendon of fingers to wrist bone,6,0.96992683,6,52,133
"Plastic repair of anal stricture, adult ",6,0.46346033,6,8,15
Release of ligaments at outer aspect of knee joint using an endoscope ,5,0.43238696,6,1605,3509
"Injection, vincristine sulfate liposome, 1 mg",4,0.45431703,6,11,16
Suture repair of great vessels and heart on heart-lung machine,6,0.9959078,6,137,150
Liver procedure,6,0.546247,6,151,211
Destruction of liver growths using an endoscope,6,0.67239654,6,260,626
Removal of entire shoulder joint lining using an endoscope ,5,0.5498825,6,875,3188
Removal (5 centimeters or greater) muscle growth of shoulder area,6,0.6608568,6,59,64
Repair of knee joint with bone graft and hardware using an endoscope ,6,0.9808333,6,78,88
Suture of ruptured muscle of thigh,6,0.98212254,6,819,953
Incision to straighten toe bones ,3,0.46095872,6,171,327
Destruction of pathway of abnormal heart beats,6,0.88721526,6,16,24
Tying inferior vena cava ,6,0.8381066,6,46,82
Anesthesia for procedure on arteries of upper leg,6,0.50793904,6,24960,51864
Repair of upper end of shin bone at knee joint,6,0.9041609,6,171,192
Fusion of entire wrist joint ,6,0.86409277,6,411,467
Repair of elbow joint,6,0.97790647,6,29,30
Repair of bony defect of forehead and eye bones,6,0.96256614,6,20,46
Transplant or transfer of thigh tendon ,6,0.9581351,6,38,54
"Removal of plaque and insertion of stent in major coronary artery or branch, accessed through the skin",6,0.5825969,6,3529,13602
"Repair of bony defect of midface through scalp, eyelid, and oral incisions with bone graft",6,0.9807504,6,18,22
